,frame number,srcip,sport,dstip,dport,proto,service,tcp flag,frame length,TTL,window size,Duration,ignored,ct_srv_src,ct_srv_dst,ct_src_ltm,ct_dst_sport_ltm,ct_src_dport_ltm
0,Frame 1,54.157.81.54,,198.71.247.91,,icmp,,,50,240,,0.0,0,1,37,1,1,1
1,Frame 2,198.71.247.91,,54.157.81.54,,icmp,,,50,64,,5.4e-05,0,8,1,19,1,1
2,Frame 3,45.155.205.49,57893.0,198.71.247.91,3986.0,tcp,mapper-ws_ethd,2.0,54,244,1024.0,2.599435,0,1,1,1,1,1
3,Frame 4,140.179.224.210,,198.71.247.91,,icmp,,,98,27,,4.749488,0,1,37,1,1,1
4,Frame 5,198.71.247.91,,140.179.224.210,,icmp,,,98,64,,0.000176,0,8,1,19,1,1
5,Frame 6,45.134.26.232,46268.0,198.71.247.91,56065.0,tcp,,2.0,54,244,1024.0,2.395115,0,1,37,1,1,1
6,Frame 7,69.235.185.146,,198.71.247.91,,icmp,,,98,26,,13.827972,0,1,37,1,1,1
7,Frame 8,198.71.247.91,,69.235.185.146,,icmp,,,98,64,,9.6e-05,0,8,1,19,1,1
8,Frame 9,23.251.102.93,39048.0,198.71.247.91,8080.0,tcp,http-alt,2.0,54,243,1024.0,13.115064,0,1,3,1,1,1
9,Frame 10,45.134.26.45,46203.0,198.71.247.91,54757.0,tcp,,2.0,54,243,1024.0,2.721686,0,1,37,1,1,1
10,Frame 11,89.248.163.155,8080.0,198.71.247.91,40217.0,tcp,http-alt,2.0,54,245,1024.0,15.830676,0,2,3,2,2,1
11,Frame 12,94.232.46.202,55346.0,198.71.247.91,22.0,tcp,ssh,2.0,74,58,64240.0,24.629752,0,3,7,3,3,3
12,Frame 13,94.232.46.202,55346.0,198.71.247.91,22.0,tcp,ssh,2.0,74,58,64240.0,1.034618,0,3,7,3,3,3
13,Frame 14,45.155.205.39,57668.0,198.71.247.91,2749.0,tcp,fjippol-cnsl,2.0,54,243,1024.0,1.25789,0,1,1,1,1,1
14,Frame 15,94.232.46.202,55346.0,198.71.247.91,22.0,tcp,ssh,2.0,74,58,64240.0,0.758435,0,3,7,3,3,3
15,Frame 16,192.241.213.181,52063.0,198.71.247.91,443.0,tcp,https,2.0,54,248,65535.0,3.226809,0,1,1,1,1,1
16,Frame 17,198.71.247.91,443.0,192.241.213.181,52063.0,tcp,https,20.0,54,64,0.0,8.3e-05,0,1,1,19,1,1
17,Frame 18,209.141.58.15,,198.71.247.91,,udp,,,72,247,,9.867763,0,1,37,1,1,1
18,Frame 19,89.248.165.199,53860.0,198.71.247.91,3393.0,tcp,d2k-tapestry1,2.0,54,245,1024.0,10.128322,0,1,1,1,1,1
19,Frame 20,45.134.26.42,46190.0,198.71.247.91,52750.0,tcp,,2.0,54,244,1024.0,13.784873,0,2,37,2,2,1
20,Frame 21,114.34.107.213,58863.0,198.71.247.91,23.0,tcp,telnet,2.0,54,50,8726.0,17.512242,0,1,3,1,1,1
21,Frame 22,167.94.138.16,44543.0,198.71.247.91,8880.0,tcp,cddbp-alt,2.0,58,40,1024.0,33.303084,0,1,1,1,1,1
22,Frame 23,45.134.26.236,46320.0,198.71.247.91,65047.0,tcp,,2.0,54,243,1024.0,28.451824,0,1,37,1,1,1
23,Frame 24,167.248.133.74,30149.0,198.71.247.91,2090.0,tcp,lrp,2.0,58,41,1024.0,11.783696,0,1,1,1,1,1
24,Frame 25,89.248.165.202,46847.0,198.71.247.91,9255.0,tcp,,2.0,54,245,65535.0,17.819602,0,2,37,2,1,1
25,Frame 26,89.248.165.51,43751.0,198.71.247.91,33801.0,tcp,,2.0,54,245,1024.0,7.197874,0,2,37,2,2,1
26,Frame 27,64.225.75.232,33556.0,198.71.247.91,80.0,tcp,http,2.0,74,55,64240.0,17.163481,0,6,15,6,6,6
27,Frame 28,198.71.247.91,80.0,64.225.75.232,33556.0,tcp,http,18.0,74,64,65160.0,0.00021,0,10,5,19,5,5
28,Frame 29,64.225.75.232,33556.0,198.71.247.91,80.0,tcp,http,16.0,66,55,502.0,0.145159,0,6,15,6,6,6
29,Frame 30,64.225.75.232,33556.0,198.71.247.91,80.0,tcp,http,24.0,314,55,502.0,6.3e-05,0,6,15,6,6,6
30,Frame 31,198.71.247.91,80.0,64.225.75.232,33556.0,tcp,http,16.0,66,64,508.0,0.000102,0,10,5,19,5,5
31,Frame 32,198.71.247.91,80.0,64.225.75.232,33556.0,tcp,http,24.0,521,64,508.0,0.001439,0,10,5,19,5,5
32,Frame 33,198.71.247.91,80.0,64.225.75.232,33556.0,tcp,http,17.0,66,64,508.0,0.000137,0,10,5,19,5,5
33,Frame 34,64.225.75.232,33556.0,198.71.247.91,80.0,tcp,http,16.0,66,55,501.0,0.144804,0,6,15,6,6,6
34,Frame 35,64.225.75.232,33556.0,198.71.247.91,80.0,tcp,http,17.0,66,55,501.0,5.7e-05,0,6,15,6,6,6
35,Frame 36,198.71.247.91,80.0,64.225.75.232,33556.0,tcp,http,16.0,66,64,508.0,1.2e-05,0,10,5,19,5,5
36,Frame 37,64.225.75.232,33556.0,198.71.247.91,80.0,tcp,http,16.0,66,55,501.0,0.000429,0,6,15,6,6,6
37,Frame 38,45.155.205.42,57732.0,198.71.247.91,3167.0,tcp,poweroncontact,2.0,54,243,1024.0,29.650665,0,1,1,1,1,1
38,Frame 39,178.72.76.15,8638.0,198.71.247.91,23.0,tcp,telnet,2.0,54,48,18577.0,4.231636,0,1,3,1,1,1
39,Frame 40,180.215.130.50,53826.0,198.71.247.91,5678.0,tcp,rrac,2.0,58,57,1024.0,1.874868,0,1,1,1,1,1
40,Frame 41,89.248.163.166,53462.0,198.71.247.91,46176.0,tcp,,2.0,54,245,1024.0,2.884907,0,3,37,3,3,1
41,Frame 42,45.135.232.218,46618.0,198.71.247.91,43016.0,tcp,,2.0,54,244,1024.0,3.297409,0,1,37,1,1,1
42,Frame 43,100.27.26.68,,198.71.247.91,,icmp,,,50,240,,4.37334,0,1,37,1,1,1
43,Frame 44,198.71.247.91,,100.27.26.68,,icmp,,,50,64,,5.3e-05,0,8,1,19,1,1
44,Frame 45,185.156.73.122,46468.0,198.71.247.91,6010.0,tcp,,2.0,54,246,1024.0,5.425573,0,1,37,1,1,1
45,Frame 46,89.248.163.166,53462.0,198.71.247.91,34053.0,tcp,,2.0,54,245,1024.0,13.837378,0,3,37,3,3,1
46,Frame 47,52.81.254.66,,198.71.247.91,,icmp,,,50,235,,17.436573,0,1,37,1,1,1
47,Frame 48,198.71.247.91,,52.81.254.66,,icmp,,,50,64,,5.4e-05,0,8,1,19,1,1
